duration,distance,averageDistance,speed,rpm,power,resistance,heartRate,incline,totalSteps
10,48.28,16.09,16.9,75,35,1,44,0,11
10,48.28,64.37,16.9,71,35,1,97,0,22
10,32.19,112.65,16.9,72,35,1,29,0,34
10,48.28,160.93,16.9,72,35,1,0,0,46
10,48.28,209.21,16.9,71,35,1,0,0,58
10,48.28,257.49,16.9,74,35,1,0,0,71
10,48.28,305.77,16.9,74,35,1,81,0,83
10,48.28,354.05,16.9,75,35,1,90,0,95
10,48.28,402.33,16.9,73,35,1,89,0,108
10,48.28,450.62,16.9,72,35,1,88,0,120
10,48.28,498.9,16.9,73,35,1,90,0,132
10,48.28,531.08,16.9,74,35,1,90,0,144
10,64.37,595.46,22.53,76,67,1,91,0,157
10,64.37,659.83,23.17,71,70,1,95,0,168
10,64.37,724.2,23.17,69,70,1,94,0,180
10,64.37,788.58,23.17,71,70,1,98,0,192
10,64.37,852.95,23.17,72,70,1,50,0,204
10,64.37,917.32,23.17,70,70,1,99,0,215
10,64.37,981.7,23.17,70,70,1,99,0,227
10,64.37,1046.07,23.17,71,70,1,0,0,239
10,64.37,1110.44,23.17,72,70,1,0,0,250
10,64.37,1174.82,23.17,72,70,1,101,0,262
10,64.37,1239.19,23.17,72,70,1,97,0,274
10,64.37,1303.57,23.17,73,70,1,49,0,286
10,64.37,1367.94,26.88,72,102,1,99,0,298
10,80.47,1448.41,27.2,73,105,1,102,0,311
10,80.47,1528.87,27.2,72,105,1,106,0,323
10,64.37,1593.25,27.2,72,105,1,108,0,335
10,80.47,1673.71,27.2,72,105,1,110,0,347
10,80.47,1754.18,27.2,70,105,1,111,0,358
10,64.37,1818.55,27.2,71,105,1,113,0,370
10,80.47,1899.02,27.2,72,105,1,115,0,382
10,80.47,1979.49,27.2,73,105,1,114,0,394
10,80.47,2059.96,27.2,73,105,1,115,0,406
10,64.37,2124.33,27.2,72,105,1,57,0,418
10,80.47,2204.8,27.2,70,105,1,0,0,430
10,80.47,2285.26,29.93,68,137,1,0,0,441
10,80.47,2365.73,30.26,66,140,1,0,0,452
10,96.56,2446.2,30.26,66,140,1,0,0,463
10,80.47,2542.76,30.26,68,140,1,0,0,475
10,80.47,2623.22,30.26,68,140,1,0,0,486
10,80.47,2703.69,30.26,73,140,1,13,0,498
10,96.56,2784.16,30.26,70,140,1,13,0,510
10,80.47,2880.72,30.26,66,140,1,0,0,521
10,80.47,2961.19,30.26,68,140,1,0,0,532
10,80.47,3041.65,30.26,69,140,1,0,0,544
10,80.47,3122.12,30.26,69,140,1,0,0,555
10,96.56,3218.68,30.26,67,140,1,0,0,566
10,80.47,3299.15,32.51,68,172,1,0,0,578
10,96.56,3379.61,32.83,73,175,1,104,0,590
10,96.56,3476.17,32.83,71,175,1,133,0,602
10,80.47,3572.73,32.83,74,175,1,136,0,614
10,96.56,3669.3,32.83,73,175,1,140,0,626
10,96.56,3749.76,32.83,71,175,1,28,0,638
10,80.47,3846.32,32.83,73,175,1,57,0,650
10,96.56,3942.88,32.83,73,175,1,56,0,662
10,96.56,4023.35,32.83,73,175,1,141,0,674
10,80.47,4119.91,32.83,73,175,1,98,0,686
10,96.56,4216.47,32.83,73,175,1,70,0,699
10,96.56,4296.94,32.83,74,175,1,142,0,711
10,96.56,4393.5,34.92,75,207,1,142,0,723
10,96.56,4490.06,35.08,74,210,1,144,0,736
10,96.56,4586.62,35.08,74,210,1,147,0,748
10,96.56,4683.18,35.08,74,210,1,76,0,760
10,96.56,4779.74,35.08,75,210,1,30,0,773
10,96.56,4876.3,35.08,74,210,1,152,0,785
10,96.56,4988.95,35.08,74,210,1,154,0,798
10,96.56,5085.51,35.08,74,210,1,154,0,810
10,96.56,5182.07,35.08,75,210,1,153,0,822
10,96.56,5278.64,35.08,76,210,1,155,0,835
10,96.56,5375.2,35.08,75,210,1,156,0,848
10,96.56,5471.76,35.08,75,210,1,157,0,860
10,112.65,5568.32,36.85,76,242,1,156,0,873
10,96.56,5664.88,37.01,75,245,1,157,0,885
10,112.65,5777.53,37.01,76,245,1,159,0,898
10,96.56,5874.09,37.01,74,245,1,160,0,910
10,96.56,5986.74,37.01,71,245,1,65,0,922
10,112.65,6083.31,37.01,69,245,1,0,0,934
10,96.56,6179.87,37.01,67,245,1,17,0,945
10,112.65,6292.52,37.01,71,245,1,50,0,957
10,96.56,6389.08,37.01,72,245,1,167,0,969
10,96.56,6501.73,37.01,71,245,1,67,0,981
10,112.65,6598.29,37.01,73,245,1,101,0,993
10,96.56,6694.85,37.01,72,245,1,18,0,1005
10,112.65,6807.51,38.62,73,277,1,171,0,1017
10,112.65,6920.16,38.79,72,280,1,169,0,1029
10,96.56,7016.72,38.79,71,280,1,170,0,1041
10,112.65,7129.38,38.79,69,280,1,172,0,1052
1,225.31,7193.75,38.79,64,280,1,172,0,1054
