duration,distance,averageDistance,speed,rpm,power,resistance,heartRate,incline,totalSteps
10,48.28,16.09,18.83,57,51,5,80,0,20
10,64.37,80.47,22.05,50,61,8,79,0,39
10,64.37,144.84,22.37,50,63,8,82,0,59
10,48.28,209.21,22.53,51,65,8,90,0,79
10,80.47,273.59,24.78,57,82,8,94,0,102
10,64.37,337.96,25.91,62,93,8,96,0,127
10,80.47,418.43,25.91,61,92,8,102,0,151
10,64.37,482.8,25.91,61,92,8,102,0,175
10,80.47,563.27,26.23,65,95,8,105,0,201
10,64.37,627.64,26.72,68,101,8,105,0,228
10,80.47,708.11,26.88,69,102,8,108,0,255
10,80.47,788.58,27.2,71,105,8,112,0,283
10,64.37,852.95,27.04,70,103,8,112,0,311
10,80.47,933.42,27.84,69,110,9,112,0,338
10,80.47,1013.88,29.13,71,124,10,114,0,367
10,80.47,1094.35,29.93,72,135,11,117,0,395
10,96.56,1174.82,30.74,72,145,12,119,0,423
10,80.47,1271.38,31.86,75,160,13,120,0,453
10,96.56,1351.85,32.51,75,170,14,125,0,483
10,80.47,1448.41,32.99,72,176,15,128,0,511
10,96.56,1544.97,33.64,71,185,16,127,0,539
10,96.56,1625.43,34.12,71,195,17,129,0,568
10,96.56,1721.99,35.08,74,211,18,131,0,597
10,96.56,1834.65,36.05,77,226,19,136,0,628
10,112.65,1931.21,36.69,77,237,20,138,0,658
10,96.56,2027.77,36.85,79,241,20,140,0,690
10,96.56,2140.42,36.69,77,238,20,142,0,720
10,112.65,2236.98,36.53,76,235,20,144,0,750
10,96.56,2333.54,36.37,74,231,20,144,0,780
10,96.56,2430.1,36.05,72,228,20,147,0,808
10,96.56,2542.76,35.73,72,220,19,148,0,837
10,96.56,2639.32,35.24,74,212,18,149,0,866
10,96.56,2735.88,34.92,76,206,17,150,0,896
10,96.56,2832.44,34.28,76,195,16,151,0,926
10,96.56,2929,33.64,77,186,15,152,0,957
10,96.56,3009.47,32.83,76,175,14,150,0,987
10,80.47,3106.03,32.35,77,165,13,150,0,1018
10,96.56,3186.49,31.54,78,156,12,150,0,1049
10,80.47,3283.05,31.22,83,152,11,151,0,1082
10,96.56,3363.52,31.22,90,150,10,151,0,1117
10,80.47,3460.08,29.93,86,136,9,146,0,1151
10,80.47,3540.55,28.97,85,123,8,145,0,1185
10,80.47,3621.01,27.68,84,110,7,143,0,1218
10,64.37,3685.39,27.52,83,108,7,140,0,1251
10,80.47,3765.86,27.68,84,109,7,138,0,1284
10,80.47,3846.32,27.52,82,107,7,135,0,1317
10,80.47,3926.79,27.84,85,111,7,133,0,1350
10,80.47,4007.26,28.65,84,120,8,132,0,1384
10,80.47,4087.72,29.29,82,127,9,132,0,1416
10,80.47,4168.19,30.26,82,138,10,132,0,1449
10,80.47,4248.66,31.06,81,149,11,13,0,1481
10,96.56,4329.12,31.06,81,149,11,0,0,1513
10,80.47,4425.68,30.74,78,144,11,0,0,1544
10,80.47,4506.15,30.9,79,146,11,0,0,1575
10,80.47,4586.62,30.9,79,145,11,0,0,1606
10,96.56,4683.18,30.74,78,144,11,27,0,1637
10,80.47,4763.65,30.74,79,146,11,135,0,1668
10,80.47,4844.11,31.06,81,149,11,136,0,1700
10,96.56,4924.58,31.06,81,149,11,136,0,1732
10,80.47,5021.14,31.06,81,149,11,136,0,1764
