duration,distance,averageDistance,speed,rpm,power,resistance,heartRate,incline,totalSteps
10,0,32.19,18.67,82,43,1,0,0,1
10,48.28,80.47,18.51,81,42,1,0,0,13
10,48.28,128.75,18.67,82,42,1,0,0,27
10,64.37,177.03,19.47,87,46,1,0,0,40
10,48.28,241.4,19.47,87,46,1,0,0,55
10,48.28,289.68,19.79,89,48,1,0,0,70
10,64.37,337.96,19.15,85,45,1,0,0,84
10,48.28,402.33,19.79,89,48,1,0,0,99
10,64.37,450.62,20.28,92,50,1,0,0,114
10,48.28,514.99,19.96,90,49,1,0,0,129
10,48.28,563.27,20.28,92,50,1,0,0,144
10,64.37,627.64,20.12,91,49,1,0,0,159
10,48.28,675.92,21.57,94,59,2,0,0,174
10,64.37,740.3,22.85,101,67,2,0,0,190
10,64.37,804.67,25.59,103,90,4,0,0,207
10,80.47,885.14,25.91,100,92,4,0,0,224
10,64.37,949.51,25.91,99,91,4,0,0,241
10,80.47,1029.98,25.91,101,93,4,12,0,257
10,64.37,1094.35,26.23,103,95,4,115,0,274
10,80.47,1174.82,26.07,101,93,4,35,0,291
10,64.37,1239.19,26.23,103,95,4,47,0,308
10,80.47,1319.66,26.23,103,95,4,35,0,325
10,64.37,1384.03,26.39,105,97,4,119,0,343
10,80.47,1464.5,26.23,103,95,4,122,0,360
10,64.37,1528.87,26.07,101,93,4,121,0,377
10,80.47,1609.34,25.91,100,92,4,119,0,394
10,64.37,1673.71,25.91,100,92,4,120,0,411
10,80.47,1754.18,26.07,102,94,4,124,0,428
10,64.37,1818.55,26.23,103,95,4,124,0,445
10,80.47,1899.02,27.52,106,108,5,75,0,462
10,64.37,1979.49,31.06,110,150,8,128,0,480
10,96.56,2059.96,31.38,111,153,8,90,0,498
10,80.47,2156.52,31.06,108,149,8,0,0,516
10,96.56,2236.98,31.22,109,151,8,14,0,534
10,80.47,2317.45,30.9,106,147,8,86,0,553
10,80.47,2414.01,30.9,107,148,8,143,0,570
10,96.56,2494.48,30.9,107,148,8,145,0,588
10,80.47,2591.04,31.06,108,149,8,145,0,606
10,80.47,2671.5,31.22,109,151,8,145,0,624
10,96.56,2751.97,31.06,109,150,8,131,0,642
10,80.47,2848.53,31.06,108,149,8,146,0,660
10,80.47,2929,30.74,105,146,8,146,0,678
10,96.56,3009.47,30.9,106,147,8,145,0,696
10,80.47,3106.03,31.22,111,153,8,145,0,713
10,96.56,3186.49,30.74,104,144,8,29,0,732
10,80.47,3266.96,30.9,107,148,8,145,0,749
10,80.47,3363.52,31.06,108,150,8,145,0,767
10,96.56,3443.99,30.9,107,148,8,147,0,785
10,80.47,3524.45,30.74,105,145,8,148,0,803
10,80.47,3621.01,30.74,104,145,8,148,0,820
10,80.47,3701.48,30.74,105,145,8,147,0,838
10,96.56,3781.95,30.58,103,143,8,103,0,855
10,80.47,3878.51,30.9,106,147,8,148,0,872
10,80.47,3958.98,30.74,105,145,8,148,0,890
