duration,distance,averageDistance,speed,rpm,power,resistance,heartRate,incline,totalSteps
10,0,16.09,14.16,62,27,1,76,0,0
10,48.28,64.37,22.21,70,63,4,82,0,10
10,48.28,128.75,22.69,73,66,4,91,0,22
10,64.37,193.12,23.5,79,72,4,96,0,34
10,64.37,257.49,23.66,80,73,4,97,0,47
10,64.37,321.87,24.3,85,78,4,99,0,60
10,80.47,402.33,24.14,85,78,4,101,0,75
10,64.37,466.71,24.62,89,82,4,102,0,89
10,64.37,531.08,24.3,86,79,4,103,0,104
10,64.37,595.46,24.62,88,81,4,101,0,118
10,80.47,675.92,24.62,88,81,4,102,0,132
10,64.37,740.3,24.46,87,80,4,104,0,147
10,64.37,804.67,24.94,91,84,4,104,0,162
10,64.37,869.04,25.59,97,89,4,106,0,177
10,80.47,949.51,25.43,95,88,4,105,0,193
10,64.37,1013.88,25.75,98,90,4,104,0,209
10,80.47,1094.35,25.59,96,88,4,106,0,225
10,64.37,1158.72,25.27,94,87,4,108,0,241
0,16.09,1207,24.46,87,80,4,108,0,257
