duration,distance,averageDistance,speed,rpm,power,resistance,heartRate,incline,totalSteps
10,16.09,48.28,28.97,107,124,6,89,0,4
10,64.37,128.75,30.74,116,145,7,112,0,42
10,80.47,209.21,32.51,120,170,9,81,0,88
10,96.56,305.77,34.28,125,197,10,115,0,136
10,96.56,402.33,34.44,126,198,10,144,0,186
10,96.56,498.9,34.28,124,195,10,144,0,236
10,96.56,579.36,34.28,123,194,10,161,0,285
10,96.56,675.92,34.12,122,193,10,167,0,334
10,96.56,772.48,34.12,123,193,10,170,0,382
10,80.47,869.04,33.96,120,190,10,172,0,431
10,96.56,965.6,33.96,121,191,10,173,0,479
10,96.56,1062.16,33.8,119,189,10,174,0,527
10,96.56,1158.72,35.73,122,222,12,174,0,574
10,96.56,1255.29,37.18,124,248,14,175,0,622
10,112.65,1367.94,37.5,128,254,14,176,0,672
10,96.56,1464.5,37.34,125,250,14,178,0,722
10,112.65,1561.06,37.01,122,245,14,179,0,772
10,96.56,1673.71,35.24,115,212,12,180,0,820
10,96.56,1770.27,34.76,111,203,12,179,0,866
10,96.56,1866.83,33.15,110,179,10,179,0,910
10,96.56,1947.3,32.83,112,176,9,180,0,953
10,80.47,2043.86,28.97,106,124,6,179,0,998
10,80.47,2108.24,26.88,95,101,5,176,0,1039
10,80.47,2188.7,26.23,92,96,5,173,0,1077
10,64.37,2253.08,26.07,89,93,5,171,0,1113
10,80.47,2333.54,26.07,90,94,5,165,0,1149
10,64.37,2397.92,26.23,91,95,5,162,0,1184
10,80.47,2478.38,26.23,92,96,5,160,0,1220
10,64.37,2558.85,26.55,94,98,5,155,0,1257
10,80.47,2623.22,26.55,95,99,5,154,0,1294
10,80.47,2703.69,26.55,94,98,5,149,0,1332
10,64.37,2768.06,26.39,93,97,5,147,0,1369
10,80.47,2848.53,26.39,93,97,5,146,0,1406
10,64.37,2912.91,26.55,95,99,5,146,0,1443
10,80.47,2993.37,26.23,92,96,5,143,0,1480
10,64.37,3073.84,26.39,93,97,5,145,0,1517
10,80.47,3138.21,26.23,92,96,5,148,0,1554
10,80.47,3218.68,25.91,88,92,5,148,0,1590
10,64.37,3283.05,25.91,88,92,5,147,0,1625
10,64.37,3363.52,26.23,91,95,5,145,0,1660
10,80.47,3427.89,26.39,93,97,5,145,0,1697
10,80.47,3508.36,26.23,92,96,5,145,0,1733
10,64.37,3572.73,26.23,91,95,5,144,0,1770
10,80.47,3653.2,26.39,93,97,5,144,0,1806
10,64.37,3717.58,26.39,93,97,5,143,0,1843
10,80.47,3798.04,26.23,91,95,5,143,0,1880
10,64.37,3862.42,26.23,91,95,5,146,0,1916
10,80.47,3942.88,26.07,90,94,5,148,0,1952
10,64.37,4007.26,25.91,89,93,5,148,0,1988
10,80.47,4087.72,26.07,90,94,5,148,0,2023
10,64.37,4152.1,26.07,90,94,5,145,0,2059
10,80.47,4232.56,26.07,90,94,5,146,0,2094
10,64.37,4296.94,26.07,91,95,5,146,0,2130
10,80.47,4377.4,26.07,89,93,5,145,0,2166
10,64.37,4441.78,26.23,91,95,5,146,0,2201
10,80.47,4522.25,26.23,91,95,5,145,0,2237
10,64.37,4586.62,26.23,92,96,5,145,0,2273
10,80.47,4667.09,26.23,92,96,5,141,0,2309
10,64.37,4747.55,26.55,95,99,5,142,0,2346
10,80.47,4811.93,26.55,95,99,5,143,0,2383
0,193.12,4892.39,27.68,99,111,6,142,0,2421
