duration,distance,averageDistance,speed,rpm,power,resistance,heartRate,incline,totalSteps
10,0,32.19,23.66,92,73,3,45,0,1
10,64.37,96.56,23.66,92,73,3,104,0,15
10,64.37,160.93,23.82,94,75,3,109,0,30
10,64.37,225.31,23.98,95,76,3,107,0,46
10,64.37,289.68,23.98,95,76,3,111,0,62
10,80.47,354.05,23.98,95,76,3,112,0,78
10,64.37,434.52,23.82,94,75,3,115,0,93
10,64.37,498.9,24.3,98,79,3,118,0,109
10,64.37,563.27,24.3,98,79,3,117,0,126
10,64.37,627.64,24.46,99,81,3,114,0,142
10,80.47,708.11,26.23,101,96,4,115,0,158
10,64.37,772.48,26.07,102,94,4,119,0,175
10,80.47,852.95,25.91,101,93,4,121,0,192
10,64.37,917.32,25.91,101,93,4,124,0,209
10,80.47,997.79,25.91,101,93,4,127,0,226
10,64.37,1062.16,26.23,104,96,4,127,0,243
10,80.47,1142.63,26.07,102,94,4,128,0,260
10,64.37,1207,30.42,106,159,9,129,0,277
10,96.56,1319.66,42,137,352,20,134,0,295
10,112.65,1432.31,42,137,352,20,148,0,318
10,112.65,1544.97,42.33,142,357,20,160,0,341
10,112.65,1641.53,27.36,115,117,5,167,0,365
10,80.47,1721.99,24.78,101,81,3,168,0,383
10,64.37,1786.37,24.62,100,81,3,166,0,400
10,64.37,1850.74,24.62,100,80,3,163,0,417
10,80.47,1931.21,24.3,98,79,3,157,0,433
10,64.37,1995.58,24.62,100,81,3,150,0,450
10,64.37,2059.96,24.78,101,82,3,143,0,466
10,64.37,2124.33,24.94,104,84,3,139,0,483
10,80.47,2204.8,29.93,112,158,8,138,0,501
10,80.47,2301.36,42.33,141,356,20,143,0,520
10,112.65,2430.1,42.33,146,358,20,157,0,544
10,128.75,2542.76,42.33,148,358,20,167,0,568
10,112.65,2639.32,26.88,109,112,5,173,0,593
10,64.37,2703.69,23.98,94,75,3,174,0,610
10,64.37,2768.06,23.5,91,72,3,172,0,626
10,64.37,2832.44,23.5,91,72,3,168,0,641
10,80.47,2896.81,23.82,93,74,3,163,0,656
10,64.37,2977.28,24.14,96,77,3,154,0,672
10,64.37,3041.65,24.62,99,80,3,149,0,688
10,64.37,3106.03,24.78,101,82,3,148,0,704
10,64.37,3170.4,30.09,111,163,8,143,0,721
10,96.56,3283.05,42.81,141,371,21,146,0,740
10,112.65,3411.8,42.81,148,372,21,159,0,764
10,128.75,3524.45,42.81,150,372,21,170,0,789
10,112.65,3621.01,26.07,102,107,5,177,0,813
10,64.37,3685.39,23.82,93,74,3,178,0,830
10,64.37,3749.76,23.66,92,73,3,177,0,845
10,64.37,3814.14,23.82,93,74,3,173,0,861
10,64.37,3878.51,23.98,95,76,3,168,0,876
10,80.47,3958.98,24.14,97,78,3,161,0,892
10,64.37,4023.35,24.46,99,80,3,157,0,908
10,64.37,4087.72,24.78,101,81,3,154,0,925
