duration,distance,rpm,power,average_distance,speed,incline,resistance,heart_rate,total_steps
10,0,68,31,16.09,15.93,0,1,0,2
10,48.28,86,45,64.37,19.31,0,1,0,27
10,48.28,86,45,128.75,19.31,0,1,0,61
10,48.28,89,48,177.03,19.79,0,1,0,96
10,64.37,91,50,241.4,20.12,0,1,0,131
10,48.28,97,54,289.68,20.92,0,1,0,167
10,64.37,96,53,354.05,20.76,0,1,112,206
10,64.37,94,52,402.33,20.44,0,1,109,244
10,48.28,96,53,466.71,20.76,0,1,77,281
10,64.37,96,54,514.99,20.76,0,1,0,319
10,48.28,99,56,579.36,21.08,0,1,0,358
10,64.37,100,57,643.74,21.24,0,1,98,397
10,64.37,102,82,708.11,24.62,0,3,45,436
10,64.37,100,104,772.48,27.2,0,5,114,477
10,80.47,103,107,852.95,27.52,0,5,116,517
10,64.37,103,107,933.42,27.52,0,5,120,558
10,80.47,103,107,997.79,27.52,0,5,121,598
10,80.47,100,104,1078.26,27.2,0,5,49,639
10,80.47,106,102,1158.72,26.88,0,4,99,679
10,64.37,103,95,1223.1,26.07,0,4,127,721
10,80.47,102,94,1303.57,26.07,0,4,128,762
10,64.37,102,94,1367.94,26.07,0,4,126,802
10,80.47,102,94,1448.41,26.07,0,4,126,842
10,64.37,104,96,1512.78,26.23,0,4,127,883
10,80.47,103,95,1593.25,26.07,0,4,126,924
10,64.37,103,95,1657.62,26.23,0,4,126,964
10,80.47,103,95,1738.09,26.23,0,4,124,1005
10,64.37,102,94,1802.46,26.07,0,4,125,1046
10,80.47,101,93,1882.93,25.91,0,4,125,1087
10,64.37,100,92,1947.3,25.91,0,4,123,1126
10,80.47,100,92,2027.77,25.91,0,4,0,1166
10,64.37,98,101,2092.14,26.88,0,5,0,1206
10,80.47,98,102,2172.61,27.04,0,5,113,1244
10,64.37,99,103,2253.08,27.04,0,5,123,1284
10,80.47,98,102,2317.45,26.88,0,5,125,1323
10,80.47,100,104,2397.92,27.04,0,5,89,1361
10,64.37,100,104,2478.38,27.04,0,5,115,1401
