duration,distance,averageDistance,speed,rpm,power,resistance,heartRate,incline,totalSteps
10,0,16.09,18.02,77,39,1,86,0,2
10,48.28,80.47,24.14,85,77,4,94,0,30
10,64.37,144.84,24.94,91,84,4,100,0,64
10,80.47,225.31,25.75,94,92,5,110,0,101
10,64.37,289.68,27.52,93,108,6,105,0,138
10,80.47,370.15,27.68,94,110,6,109,0,175
10,80.47,450.62,27.84,95,111,6,114,0,212
10,80.47,531.08,28,97,113,6,116,0,250
10,64.37,611.55,28.16,99,115,6,119,0,289
10,80.47,692.02,28,97,113,6,118,0,328
10,80.47,756.39,28,97,113,6,118,0,366
10,80.47,836.86,28.16,99,115,6,119,0,405
10,80.47,917.32,28.32,100,116,6,119,0,444
10,80.47,997.79,29.29,102,128,7,120,0,484
10,80.47,1078.26,30.26,101,140,8,122,0,525
10,80.47,1174.82,31.38,102,153,9,123,0,565
10,80.47,1255.29,32.03,100,162,10,125,0,605
10,96.56,1351.85,32.67,99,172,11,131,0,645
10,96.56,1432.31,33.64,101,186,12,133,0,684
10,80.47,1528.87,34.6,103,202,13,135,0,724
10,96.56,1625.43,34.92,106,207,13,139,0,765
10,96.56,1721.99,34.92,105,207,13,142,0,807
10,96.56,1818.55,34.92,105,207,13,143,0,849
10,112.65,1915.11,34.92,105,206,13,144,0,890
10,96.56,2011.67,34.28,106,197,12,146,0,932
10,80.47,2108.24,33.8,109,189,11,148,0,974
10,96.56,2204.8,32.67,106,173,10,148,0,1017
10,96.56,2285.26,31.86,107,161,9,147,0,1060
10,80.47,2381.82,30.74,104,146,8,147,0,1102
10,96.56,2462.29,29.93,104,134,7,147,0,1143
10,80.47,2542.76,28.97,105,122,6,145,0,1185
10,80.47,2623.22,27.84,106,112,5,142,0,1226
10,80.47,2703.69,27.84,106,111,5,139,0,1268
10,64.37,2784.16,27.68,105,110,5,136,0,1310
10,80.47,2864.63,27.84,107,112,5,134,0,1352
10,80.47,2929,28.65,106,121,6,135,0,1394
10,80.47,3009.47,28.65,104,121,6,133,0,1437
10,80.47,3089.93,29.77,106,134,7,135,0,1478
10,80.47,3186.49,29.93,106,135,7,135,0,1520
10,80.47,3266.96,30.09,108,137,7,135,0,1562
10,80.47,3347.43,30.09,107,136,7,134,0,1605
10,96.56,3427.89,30.9,107,147,8,138,0,1647
10,80.47,3524.45,31.38,112,154,8,139,0,1690
10,80.47,3604.92,30.9,106,147,8,140,0,1735
10,96.56,3685.39,30.74,105,145,8,140,0,1776
10,80.47,3781.95,30.74,105,145,8,140,0,1818
10,80.47,3862.42,30.74,105,146,8,140,0,1859
10,96.56,3942.88,30.58,103,143,8,141,0,1901
10,80.47,4023.35,30.74,104,144,8,142,0,1942
10,80.47,4119.91,30.74,105,146,8,140,0,1983
10,96.56,4200.38,30.9,106,146,8,141,0,2025
10,80.47,4280.84,30.9,106,147,8,142,0,2067
10,80.47,4377.4,30.9,106,147,8,141,0,2108
10,96.56,4457.87,30.9,107,148,8,143,0,2151
