duration,distance,averageDistance,speed,rpm,power,resistance,heartRate,incline,totalSteps
10,0,32.19,22.37,83,67,3,90,0,2
10,64.37,96.56,24.94,90,83,4,96,0,33
10,64.37,160.93,25.27,94,87,4,102,0,69
10,80.47,241.4,25.43,95,88,4,115,0,106
10,64.37,305.77,25.59,96,88,4,120,0,144
10,64.37,370.15,25.75,99,91,4,122,0,182
10,80.47,450.62,28.65,96,119,7,124,0,221
10,80.47,531.08,29.13,98,125,7,126,0,259
10,80.47,611.55,29.77,105,134,7,128,0,298
10,80.47,708.11,30.58,113,142,7,111,0,340
10,80.47,788.58,30.26,110,139,7,123,0,385
10,80.47,869.04,30.58,111,144,7,99,0,428
10,96.56,949.51,31.54,114,157,8,50,0,473
10,80.47,1046.07,31.86,113,160,8,128,0,518
10,96.56,1126.54,32.19,111,165,9,139,0,563
10,80.47,1223.1,32.19,111,165,9,141,0,607
10,96.56,1303.57,32.19,110,164,9,43,0,650
10,80.47,1400.13,31.54,109,154,8,115,0,694
10,96.56,1480.59,31.22,110,152,8,145,0,737
10,80.47,1577.15,30.9,108,146,8,121,0,781
10,96.56,1657.62,30.09,109,138,7,77,0,824
10,80.47,1738.09,29.61,112,132,6,133,0,867
10,80.47,1818.55,28.65,111,120,5,147,0,911
10,80.47,1899.02,27.2,108,105,4,143,0,955
10,64.37,1979.49,26.72,108,100,4,42,0,998
10,80.47,2043.86,26.72,108,100,4,140,0,1041
10,80.47,2124.33,26.72,108,100,4,138,0,1083
10,64.37,2188.7,26.72,108,100,4,138,0,1126
10,80.47,2269.17,26.55,106,98,4,136,0,1169
10,64.37,2349.64,26.72,108,100,4,137,0,1211
10,80.47,2414.01,26.55,107,99,4,137,0,1254
10,80.47,2494.48,26.55,106,98,4,134,0,1296
10,64.37,2558.85,26.55,106,98,4,130,0,1338
10,80.47,2639.32,27.84,106,111,5,129,0,1380
10,80.47,2719.78,28.65,105,120,6,78,0,1422
10,80.47,2800.25,29.61,108,132,7,118,0,1464
10,80.47,2880.72,30.58,108,143,8,132,0,1506
10,80.47,2977.28,31.22,109,150,8,97,0,1549
10,80.47,3057.75,30.9,107,148,8,139,0,1592
10,96.56,3138.21,31.22,110,151,8,143,0,1635
10,80.47,3234.77,31.22,109,150,8,143,0,1678
10,80.47,3315.24,31.22,110,152,8,144,0,1722
10,96.56,3395.71,30.9,108,148,8,130,0,1765
10,80.47,3492.27,29.93,107,136,7,88,0,1808
10,80.47,3572.73,29.77,108,133,7,89,0,1851
10,96.56,3653.2,28.97,110,123,6,144,0,1893
10,64.37,3733.67,28.16,110,115,5,72,0,1937
10,80.47,3814.14,27.04,108,103,4,145,0,1980
10,80.47,3878.51,25.91,110,92,3,143,0,2023
10,64.37,3942.88,25.75,111,90,3,127,0,2067
10,80.47,4023.35,25.43,108,88,3,42,0,2111
10,64.37,4087.72,25.91,113,92,3,126,0,2154
10,80.47,4168.19,26.88,117,101,3,69,0,2198
10,64.37,4248.66,27.36,115,107,4,98,0,2245
10,80.47,4313.03,27.04,111,103,4,86,0,2290
10,80.47,4393.5,27.04,111,103,4,140,0,2334
10,64.37,4473.97,28,111,112,5,140,0,2378
10,80.47,4554.43,28.32,109,118,5,84,0,2422
10,80.47,4634.9,29.13,109,126,6,130,0,2465
10,80.47,4715.37,29.13,109,126,6,146,0,2508
10,80.47,4795.83,29.29,110,127,6,144,0,2551
10,80.47,4876.3,29.29,110,127,6,142,0,2595
10,80.47,4956.77,29.29,110,127,6,42,0,2639
10,80.47,5037.23,29.13,109,126,6,143,0,2682
10,80.47,5117.7,29.13,109,126,6,143,0,2726
10,80.47,5198.17,29.13,108,125,6,144,0,2769
10,80.47,5278.64,29.13,109,126,6,142,0,2812
10,80.47,5359.1,29.29,110,127,6,144,0,2855
10,96.56,5439.57,29.29,110,127,6,146,0,2899
10,80.47,5520.04,29.13,109,126,6,146,0,2942
10,80.47,5600.5,29.29,110,127,6,88,0,2985
10,80.47,5680.97,29.29,111,128,6,144,0,3029
10,80.47,5761.44,29.29,111,128,6,147,0,3073
10,80.47,5841.9,29.45,111,128,6,146,0,3117
10,80.47,5922.37,29.29,110,127,6,144,0,3161
10,80.47,6002.84,29.29,110,127,6,146,0,3204
10,80.47,6083.31,28.97,108,124,6,150,0,3248
10,80.47,6163.77,28.16,110,115,5,146,0,3291
10,80.47,6244.24,28.32,110,115,5,104,0,3335
10,80.47,6324.71,28,109,114,5,149,0,3379
10,64.37,6405.17,28.16,109,114,5,146,0,3421
10,80.47,6485.64,27.52,111,108,4,120,0,3465
10,80.47,6550.01,26.55,107,99,4,148,0,3509
10,80.47,6630.48,26.55,107,99,4,88,0,3551
10,64.37,6694.85,26.88,109,101,4,145,0,3594
10,80.47,6775.32,26.72,108,100,4,142,0,3637
10,80.47,6855.79,26.72,108,100,4,57,0,3679
10,64.37,6920.16,27.04,106,103,4,111,0,3722
10,80.47,7000.63,28.16,105,115,5,138,0,3764
10,80.47,7081.1,29.13,104,125,6,137,0,3806
10,80.47,7161.56,30.09,105,138,7,139,0,3847
10,80.47,7242.03,31.06,108,149,8,141,0,3889
10,80.47,7338.59,31.06,109,150,8,144,0,3932
10,96.56,7419.06,31.22,110,151,8,145,0,3975
10,80.47,7515.62,30.9,107,148,8,132,0,4018
10,80.47,7596.08,31.06,108,149,8,73,0,4061
10,96.56,7676.55,30.9,108,148,8,45,0,4103
10,80.47,7773.11,30.09,109,138,7,150,0,4146
10,80.47,7853.58,30.09,107,136,7,30,0,4189
10,80.47,7934.05,29.93,107,136,7,107,0,4232
10,96.56,8014.51,29.13,108,125,6,151,0,4274
10,80.47,8094.98,28.16,109,114,5,149,0,4317
10,64.37,8175.45,28,109,114,5,149,0,4360
10,80.47,8255.91,28.16,110,115,5,148,0,4404
10,80.47,8336.38,28,109,114,5,90,0,4447
10,80.47,8400.75,28.16,110,114,5,148,0,4491
10,80.47,8481.22,27.84,106,111,5,148,0,4534
10,80.47,8561.69,27.84,107,112,5,147,0,4576
10,80.47,8642.16,28,108,113,5,145,0,4618
10,64.37,8722.62,27.84,106,111,5,144,0,4661
10,80.47,8787,28,108,113,5,144,0,4703
10,80.47,8867.46,27.84,107,112,5,142,0,4746
10,80.47,8947.93,27.68,105,109,5,141,0,4788
10,80.47,9028.4,27.68,105,110,5,140,0,4830
10,64.37,9108.86,28.16,104,115,6,139,0,4872
10,80.47,9189.33,29.13,103,126,7,137,0,4913
10,80.47,9269.8,30.42,106,142,8,136,0,4954
10,96.56,9350.27,31.38,107,155,9,140,0,4996
10,80.47,9446.83,32.03,109,162,9,142,0,5038
10,96.56,9527.29,31.86,107,160,9,147,0,5081
10,80.47,9623.85,31.86,107,160,9,45,0,5124
10,96.56,9704.32,31.22,108,151,8,121,0,5166
10,80.47,9784.79,30.42,106,143,8,106,0,5209
10,80.47,9881.35,29.77,104,132,7,90,0,5251
10,80.47,9961.81,29.77,105,133,7,147,0,5292
10,80.47,10042.28,29.77,104,133,7,146,0,5333
10,96.56,10122.75,30.26,110,140,7,146,0,5375
10,80.47,10203.22,29.93,106,134,7,148,0,5419
10,80.47,10283.68,29.93,106,135,7,147,0,5460
10,80.47,10380.24,30.26,110,139,7,147,0,5503
10,80.47,10460.71,30.09,109,138,7,149,0,5546
10,96.56,10541.18,29.93,107,136,7,150,0,5590
10,80.47,10621.64,29.77,105,134,7,151,0,5632
10,80.47,10702.11,28.97,106,123,6,90,0,5673
10,80.47,10782.58,28.49,108,118,5,150,0,5716
10,80.47,10863.05,27.2,107,105,4,150,0,5758
10,64.37,10943.51,26.55,107,99,4,132,0,5801
10,80.47,11007.89,26.55,106,98,4,71,0,5843
10,80.47,11088.35,26.55,107,99,4,83,0,5885
10,64.37,11152.73,27.2,105,105,5,135,0,5928
10,80.47,11233.19,28.32,105,117,6,135,0,5969
10,80.47,11313.66,29.45,105,128,7,138,0,6011
10,80.47,11394.13,30.74,109,146,8,139,0,6053
10,80.47,11490.69,31.38,111,153,8,144,0,6096
10,96.56,11571.15,31.54,113,155,8,147,0,6140
10,80.47,11667.72,31.38,111,153,8,150,0,6185
10,80.47,11748.18,30.9,112,147,7,153,0,6229
10,96.56,11828.65,30.09,111,137,7,93,0,6273
10,80.47,11909.12,28.97,108,123,6,155,0,6317
10,80.47,11989.58,27.68,107,109,5,152,0,6360
10,80.47,12070.05,26.39,106,98,4,150,0,6402
10,64.37,12134.42,26.55,107,99,4,149,0,6444
10,80.47,12214.89,26.55,107,99,4,146,0,6487
10,64.37,12295.36,26.55,107,99,4,143,0,6529
10,80.47,12359.73,27.04,110,102,4,143,0,6571
10,80.47,12440.2,26.72,108,100,4,144,0,6615
10,64.37,12504.57,26.88,109,101,4,144,0,6658
10,80.47,12585.04,26.72,108,100,4,143,0,6701
10,64.37,12665.51,27.36,113,107,4,139,0,6744
10,80.47,12745.97,28.65,115,120,5,141,0,6789
10,80.47,12826.44,28.32,112,117,5,127,0,6834
10,80.47,12890.81,28.16,110,115,5,86,0,6878
10,80.47,12971.28,28,109,114,5,142,0,6922
10,80.47,13051.75,28.32,112,117,5,43,0,6965
10,80.47,13132.21,28.32,111,116,5,143,0,7010
10,80.47,13212.68,28,108,113,5,142,0,7054
10,64.37,13293.15,28.16,109,114,5,141,0,7097
10,80.47,13373.62,28.32,110,115,5,141,0,7140
10,80.47,13437.99,28.16,109,114,5,141,0,7184
10,80.47,13518.46,28.16,109,114,5,127,0,7227
10,80.47,13598.92,28.16,110,115,5,0,0,7271
10,80.47,13679.39,28.49,114,119,5,127,0,7314
10,80.47,13759.86,28.49,113,118,5,142,0,7359
10,80.47,13840.32,28.32,112,117,5,143,0,7404
10,64.37,13920.79,28.32,111,116,5,143,0,7449
10,80.47,14001.26,28.49,112,117,5,145,0,7492
10,80.47,14081.72,28.32,113,118,5,146,0,7537
10,80.47,14162.19,28.65,115,120,5,145,0,7582
10,80.47,14226.57,28.81,118,123,5,130,0,7627
10,80.47,14307.03,28.81,116,121,5,75,0,7674
10,80.47,14387.5,28.16,113,115,5,150,0,7720
10,80.47,14467.97,26.72,108,100,4,15,0,7765
10,64.37,14548.43,26.72,108,100,4,0,0,7808
10,80.47,14612.81,26.72,108,100,4,43,0,7850
10,80.47,14693.27,26.55,107,99,4,139,0,7893
10,64.37,14773.74,27.52,108,108,5,136,0,7936
10,80.47,14838.11,28.65,109,121,6,135,0,7978
10,80.47,14918.58,30.09,112,137,7,136,0,8021
10,80.47,15015.14,31.38,116,154,8,141,0,8066
10,96.56,15095.61,31.54,113,155,8,147,0,8112
10,80.47,15192.17,31.38,112,154,8,149,0,8157
10,80.47,15272.64,30.74,111,145,7,151,0,8201
10,96.56,15353.1,30.42,112,141,7,150,0,8245
10,80.47,15449.66,30.09,115,137,6,150,0,8290
10,80.47,15530.13,29.13,108,125,6,75,0,8335
