duration,distance,averageDistance,speed,rpm,power,resistance,heartRate,incline,totalSteps
10,0,32.19,24.46,99,80,3,0,0,3
10,64.37,96.56,24.78,102,82,3,0,0,39
10,64.37,160.93,25.11,105,85,3,11,0,80
10,80.47,241.4,25.43,108,87,3,0,0,121
10,64.37,305.77,25.91,108,92,3,95,0,164
10,80.47,386.24,30.42,111,143,7,120,0,207
10,80.47,482.8,31.38,111,153,8,62,0,251
10,80.47,563.27,31.38,111,153,8,51,0,295
10,96.56,643.74,31.22,110,151,8,125,0,339
10,80.47,740.3,31.38,111,153,8,127,0,382
10,96.56,820.76,31.38,111,153,8,52,0,427
10,80.47,917.32,31.38,112,154,8,0,0,471
10,80.47,997.79,31.38,112,154,8,125,0,515
10,96.56,1078.26,31.38,111,153,8,136,0,559
10,80.47,1174.82,31.38,112,154,8,82,0,604
10,96.56,1255.29,31.38,112,155,8,28,0,648
10,80.47,1351.85,31.38,112,154,8,140,0,692
10,96.56,1432.31,33.64,117,195,11,140,0,737
10,96.56,1544.97,42.65,139,369,21,142,0,784
10,112.65,1657.62,42.81,142,371,21,148,0,840
10,112.65,1786.37,42.81,144,371,21,0,0,896
10,128.75,1882.93,27.52,116,120,5,110,0,953
10,64.37,1947.3,24.94,104,84,3,65,0,997
10,80.47,2027.77,25.11,105,85,3,100,0,1039
10,64.37,2092.14,24.78,102,82,3,156,0,1080
10,64.37,2156.52,24.94,103,83,3,60,0,1121
10,64.37,2220.89,24.94,104,84,3,28,0,1161
10,80.47,2301.36,25.91,112,91,3,83,0,1203
10,64.37,2365.73,25.59,110,90,3,109,0,1247
10,80.47,2446.2,30.58,115,164,8,28,0,1291
10,80.47,2558.85,42.65,137,367,21,139,0,1337
10,128.75,2671.5,42.81,144,372,21,14,0,1392
10,112.65,2784.16,42.81,144,372,21,113,0,1450
10,112.65,2880.72,27.68,117,121,5,16,0,1507
10,80.47,2961.19,24.46,99,80,3,85,0,1551
10,64.37,3025.56,24.3,98,79,3,166,0,1591
10,64.37,3089.93,24.3,98,79,3,16,0,1630
10,64.37,3154.31,24.14,96,77,3,91,0,1668
10,80.47,3234.77,24.14,96,77,3,58,0,1706
10,64.37,3299.15,24.94,104,84,3,0,0,1745
10,64.37,3363.52,24.78,102,82,3,100,0,1786
10,64.37,3443.99,30.42,113,169,9,68,0,1827
10,96.56,3540.55,43.45,141,386,22,140,0,1873
10,112.65,3669.3,43.45,143,386,22,14,0,1929
10,128.75,3781.95,43.45,145,387,22,0,0,1986
10,112.65,3878.51,26.55,105,112,5,69,0,2043
10,80.47,3958.98,24.14,96,77,3,120,0,2083
10,64.37,4023.35,23.82,93,74,3,169,0,2121
10,64.37,4087.72,23.5,91,72,3,0,0,2158
10,64.37,4152.1,23.98,95,76,3,0,0,2194
10,64.37,4216.47,23.98,95,76,3,0,0,2232
10,64.37,4280.84,23.82,94,75,3,0,0,2270
10,64.37,4345.22,24.62,100,80,3,100,0,2307
10,80.47,4425.68,30.58,115,170,9,142,0,2347
10,80.47,4538.34,43.29,138,382,22,144,0,2394
10,128.75,4650.99,43.45,139,384,22,30,0,2448
10,112.65,4779.74,43.45,140,386,22,0,0,2503
10,128.75,4876.3,27.04,110,116,5,35,0,2559
10,64.37,4940.67,23.98,94,75,3,0,0,2601
10,64.37,5005.05,24.14,97,77,3,0,0,2638
10,64.37,5069.42,23.5,91,72,3,0,0,2676
10,64.37,5133.79,23.82,94,75,3,0,0,2712
10,80.47,5198.17,24.3,97,78,3,157,0,2750
10,64.37,5278.64,25.27,107,87,3,151,0,2788
10,64.37,5343.01,25.27,107,87,3,131,0,2831
10,64.37,5423.48,32.19,111,197,11,44,0,2873
10,96.56,5536.13,44.26,138,408,24,146,0,2918
10,128.75,5664.88,44.58,146,414,24,157,0,2973
10,128.75,5777.53,44.1,136,402,24,162,0,3031
10,112.65,5874.09,23.34,78,85,5,175,0,3083
10,64.37,5938.46,23.17,88,70,3,175,0,3113
10,64.37,6002.84,23.82,93,74,3,174,0,3149
10,64.37,6067.21,23.66,92,73,3,17,0,3185
10,64.37,6131.59,23.66,92,73,3,0,0,3222
10,64.37,6195.96,23.82,93,74,3,0,0,3258
10,64.37,6260.33,23.82,94,75,3,0,0,3295
10,64.37,6324.71,24.14,96,77,3,0,0,3332
10,80.47,6405.17,32.51,113,200,11,106,0,3371
10,96.56,6517.83,43.93,133,400,24,151,0,3416
10,112.65,6646.57,44.42,139,413,24,158,0,3470
10,128.75,6759.23,44.1,135,404,24,175,0,3525
10,112.65,6855.79,26.23,101,109,5,176,0,3578
10,80.47,6920.16,23.17,89,70,3,106,0,3617
10,64.37,6984.54,22.53,83,65,3,0,0,3652
10,48.28,7048.91,23.01,87,68,3,52,0,3685
10,64.37,7113.28,23.98,94,75,3,167,0,3720
10,80.47,7177.66,23.98,94,75,3,162,0,3757
10,64.37,7258.12,24.46,99,80,3,158,0,3795
10,64.37,7322.5,24.62,100,80,3,46,0,3834
10,64.37,7402.96,32.35,113,201,11,153,0,3874
10,96.56,7515.62,44.26,137,408,24,122,0,3919
10,128.75,7628.27,44.42,138,410,24,0,0,3974
10,112.65,7757.02,43.93,133,399,24,0,0,4028
10,128.75,7853.58,25.91,98,105,5,0,0,4080
10,64.37,7917.95,23.17,88,69,3,0,0,4118
10,64.37,7982.33,22.85,85,67,3,0,0,4153
10,64.37,8046.7,22.85,86,67,3,0,0,4186
10,64.37,8111.07,23.01,86,68,3,0,0,4220
10,64.37,8175.45,23.17,89,70,3,0,0,4255
10,64.37,8239.82,23.34,90,71,3,0,0,4290
10,64.37,8304.19,23.66,92,73,3,32,0,4326
10,64.37,8368.57,32.19,110,196,11,156,0,4363
10,96.56,8481.22,43.45,126,385,24,155,0,4407
10,112.65,8609.97,43.93,132,397,24,163,0,4457
10,128.75,8738.72,43.61,129,391,24,165,0,4510
10,128.75,8819.18,25.43,94,103,5,175,0,4561
10,64.37,8883.56,22.69,84,66,3,176,0,4596
10,48.28,8947.93,22.05,79,61,3,175,0,4629
10,64.37,9012.3,22.05,80,62,3,104,0,4661
10,64.37,9076.68,21.24,74,57,3,0,0,4692
10,64.37,9124.96,21.08,73,56,3,0,0,4722
10,48.28,9189.33,20.76,71,54,3,0,0,4751
10,64.37,9253.7,21.24,74,57,3,0,0,4779
10,64.37,9301.99,21.4,75,57,3,0,0,4808
10,48.28,9366.36,21.73,77,59,3,0,0,4838
10,64.37,9430.73,21.89,78,60,3,0,0,4869
10,64.37,9495.11,21.89,78,60,3,0,0,4900
10,64.37,9543.39,21.08,73,56,3,0,0,4931
10,48.28,9607.76,20.76,71,54,3,0,0,4959
10,64.37,9672.13,20.6,70,53,3,0,0,4988
0,0,9688.23,20.44,69,52,3,0,0,5015
