duration,distance,averageDistance,speed,rpm,power,resistance,heartRate,incline,totalSteps
10,0,16.09,17.7,77,38,1,104,0,0
10,48.28,80.47,24.3,86,79,4,85,0,12
10,64.37,144.84,25.43,95,88,4,12,0,27
10,80.47,225.31,25.75,99,91,4,99,0,43
10,64.37,289.68,25.75,98,90,4,110,0,59
10,80.47,370.15,25.91,100,92,4,114,0,76
10,64.37,434.52,25.75,97,90,4,128,0,93
10,80.47,514.99,24.94,91,84,4,131,0,109
10,64.37,579.36,24.78,91,84,4,131,0,123
10,64.37,643.74,25.75,98,90,4,135,0,139
10,80.47,724.2,25.59,96,88,4,136,0,155
10,64.37,788.58,25.43,95,88,4,135,0,171
10,64.37,852.95,25.59,96,88,4,133,0,187
10,80.47,933.42,25.59,97,89,4,133,0,203
10,64.37,997.79,26.55,99,98,5,129,0,219
10,80.47,1078.26,29.29,100,127,7,131,0,236
10,80.47,1158.72,30.58,103,142,8,134,0,253
10,80.47,1255.29,31.22,105,151,9,136,0,270
10,96.56,1335.75,31.54,103,155,9,138,0,287
10,80.47,1432.31,31.54,102,154,9,141,0,304
10,80.47,1512.78,31.54,104,156,9,143,0,321
10,96.56,1593.25,31.54,103,155,9,146,0,339
10,80.47,1689.81,31.54,103,155,9,150,0,356
10,96.56,1770.27,31.54,104,156,9,150,0,373
10,80.47,1866.83,31.54,104,157,9,150,0,390
10,96.56,1947.3,31.54,104,156,9,151,0,408
10,80.47,2043.86,31.38,101,153,9,152,0,425
10,96.56,2124.33,31.22,100,152,9,152,0,441
10,80.47,2204.8,31.54,103,156,9,152,0,458
10,80.47,2301.36,31.38,102,154,9,152,0,475
10,96.56,2381.82,31.54,104,156,9,152,0,493
10,80.47,2478.38,31.54,104,157,9,153,0,510
10,96.56,2558.85,31.54,104,156,9,152,0,527
10,80.47,2655.41,31.54,104,156,9,152,0,545
10,96.56,2735.88,31.54,103,155,9,153,0,562
10,80.47,2832.44,31.7,105,157,9,154,0,579
10,80.47,2912.91,31.54,104,157,9,154,0,596
10,96.56,2993.37,31.7,106,158,9,154,0,614
10,80.47,3089.93,31.7,106,159,9,154,0,631
10,96.56,3170.4,31.86,107,160,9,156,0,649
10,80.47,3266.96,31.86,107,160,9,158,0,667
10,96.56,3347.43,31.7,106,159,9,158,0,685
10,80.47,3443.99,31.7,106,159,9,158,0,702
10,96.56,3524.45,31.54,103,155,9,159,0,720
10,80.47,3621.01,31.54,103,155,9,158,0,737
10,96.56,3701.48,31.54,103,155,9,157,0,754
10,80.47,3798.04,31.38,102,154,9,156,0,771
10,96.56,3878.51,31.22,99,151,9,155,0,788
10,80.47,3975.07,31.86,107,160,9,155,0,805
10,80.47,4055.54,31.86,108,161,9,155,0,823
10,96.56,4152.1,31.86,107,160,9,156,0,841
10,80.47,4232.56,31.7,105,158,9,158,0,858
